site,daysop,condition
401A,27,Burned
401B,0,Burned
401C,12,Burned
401C2,60,Burned
401D,40,Burned
402C2,60,Burned
402D,40,Burned
402E,44,Burned
402F,47,Burned
403A,35,Burned
403B,28,Burned
403C,60,Burned
403C2,48,Burned
403D,44,Burned
403E,45,Postlogged
403F,47,Postlogged
404B,30,Burned
404C,10,Burned
404C2,47,Burned
404D,40,Burned
404E,37,Burned
404F,47,Burned
405A,35,Prelogged
405B,35,Prelogged
405C,48,Prelogged
405C2,50,Prelogged
405D,44,Prelogged
405E,32,Prelogged
405F,47,Postlogged
406A,35,Prelogged
406B,35,Prelogged
406C,45,Prelogged
406C2,50,Prelogged
406D,44,Postlogged
406E,45,Postlogged
407A,35,Prelogged
407B,10,Prelogged
407C,45,Postlogged
407C2,50,Postlogged
407D,44,Prelogged
407E,45,Prelogged
407F,47,Postlogged
408B,25,Prelogged
408C,48,Prelogged
408C2,50,Prelogged
408D,5,Postlogged
408E,4,Postlogged
409A,28,Prelogged
409B,35,Prelogged
409C,48,Postlogged
409C2,50,Postlogged
409D,44,Prelogged
409E,12,Prelogged
409F,23,Postlogged
410A,35,Prelogged
410B,35,Prelogged
410C,50,Postlogged
410C2,48,Postlogged
410D,44,Postlogged
411B,35,Prelogged
411C,48,Prelogged
411F,47,Postlogged
412B,35,Prelogged
412C,48,Prelogged
412D,44,Prelogged
412E,14,Prelogged
413C,48,Burned
413C2,50,Burned
413D,44,Burned
413E,35,Burned
413F,47,Burned