Common Name,Scientific Name,IUCN status,Trend,Family,Order,Type,Guild,Species_of_concern
Russet-naped wood rail,Aramides albiventris,LC ,Decreasing ,Rallidae,Aramides,Bird,Bird,N
Red brocket,Mazama americana,DD,Decreasing ,Cervidae,Artiodactyla,Mammal,Frugivore,Y
White-tailed deer,Odocoileus virginianus,LC ,Stable ,Cervidae,Artiodactyla,Mammal,Ungulate,N
Collared peccary,Dicotyles tajacu,LC ,Stable ,Tayassuidae,Artiodactyla,Mammal,Ungulate,N
White-lipped peccary,Tayassu pecari,VU,Decreasing ,Tayassuidae,Artiodactyla,Mammal,Ungulate,Y
Gray fox,Urocyon cinereoargenteus,LC ,Stable ,Canidae,Carnivora,Mammal,Carnivore,N
Jaguar,Panthera onca,NT,Decreasing ,Felidae,Carnivora,Mammal,Carnivore,Y
Ocelot,Leopardus pardalis,LC ,Decreasing ,Felidae,Carnivora,Mammal,Carnivore,Y
Puma,Puma concolor,LC ,Decreasing ,Felidae,Carnivora,Mammal,Carnivore,Y
White-nosed coati,Nasua narica,LC ,Decreasing ,Procyonidae,Carnivora,Mammal,Carnivore,N
Margay,Leopardus wiedii,NT,Decreasing ,Felidae,Carnivora,Mammal,Carnivore,Y
Tayra,Eira barbara,LC ,Decreasing ,Mustelidae,Carnivora,Mammal,Carnivore,N
Striped hog-nosed skunk,Conepatus semistriatus,LC ,Unknown,Mephitidae,Carnivora,Mammal,Carnivore,N
Nine-banded armadillo,Dasypus novemcinctus,LC ,Stable ,Dasypodidae,Cingulata,Mammal,Insectivore,N
Gray-headed dove,Leptotila plumbeiceps,LC ,Decreasing ,Columbidae,Columbiformes,Bird,Bird,N
Ruddy quail-dove,Geotrygon montana,LC ,Decreasing ,Columbidae,Columbiformes,Bird,Bird,N
Common opossum,Didelphis marsupialis,LC ,Stable ,Didelphidae,Didelphimorphia,Mammal,Generalist,N
Brown four-eyed opossum,Metachirus nudicaudatus,LC ,Stable ,Didelphidae,Didelphimorphia,Mammal,Insectivore,N
Crested guan,Penelope purpurascens,NT,Decreasing ,Cracidae,Galliformes,Bird,Bird,Y
Great curassow,Crax rubra,VU,Decreasing ,Cracidae,Galliformes,Bird,Bird,Y
Ocellated turkey,Meleagris ocellata,NT,Decreasing ,Phasianidae,Galliformes,Bird,Bird,Y
Wood thrush, Hylocichla mustelina,LC ,Decreasing ,Turdidae,Passeriformes,Bird,Bird,N
Bare-throated tiger heron,Tigrisoma mexicanum,LC ,Decreasing ,Ardeidae,Pelecaniformes,Bird,Bird,N
Baird's tapir,Tapirus bairdii,EN,Decreasing ,Tapiridae,Perissodactyla,Mammal,Ungulate,Y
Agouti,Dasyprocta punctata,LC ,Stable ,NA,Rodentia,Mammal,Generalist,N
Paca,Cuniculus paca,LC ,Stable ,Cuniculidae,Rodentia,Mammal,Frugivore,N
Great tinamou,Tinamus major,LC ,Decreasing ,Tinamidae,Tinamiformes,Bird,Bird,N
,,,,,,,,
,,,,,,,,
,,,,,,,,